Future_Date,prediction_PM2_5,prediction_PM10,prediction_SO2,prediction_CO,prediction_Ozone,prediction_NO2,aqi_PM2_5,aqi_PM10,aqi_SO2,aqi_CO,aqi_Ozone,aqi_NO2,prediction_AQI
2023-10-27 10:00:00,32.703460693359375,65.62313079833984,11.380350112915039,0.9145073890686035,7.756191730499268,58.447208404541016,53.878261171538256,65.62313079833984,14.225437641143799,45.725369453430176,7.756191730499268,72.92085158519257,72.92085158519257
2023-10-27 11:00:00,36.07804489135742,64.33938598632812,20.658510208129883,0.9376844167709351,17.138795852661133,62.95860290527344,59.580144816431506,64.33938598632812,25.823137760162354,46.88422083854675,17.138795852661133,78.5890139066256,78.5890139066256
2023-10-27 12:00:00,38.60784149169922,63.31128692626953,23.658334732055664,0.9588463306427002,27.814483642578125,62.972877502441406,63.854628727353855,63.31128692626953,29.57291841506958,47.94231653213501,27.814483642578125,78.60694865691356,78.60694865691356
2023-10-27 13:00:00,40.530662536621094,62.273193359375,23.602088928222656,0.9602610468864441,37.992156982421875,60.44786071777344,67.1035332515322,62.273193359375,29.50261116027832,48.013052344322205,37.992156982421875,75.43449167104868,75.43449167104868
2023-10-27 14:00:00,41.79922103881836,61.12097930908203,23.057418823242188,0.966596245765686,45.955326080322266,56.67918395996094,69.2469596862793,61.12097930908203,28.821773529052734,48.3298122882843,45.955326080322266,70.6994875394381,70.6994875394381
2023-10-27 15:00:00,42.52629852294922,59.83601379394531,22.78596305847168,0.9833320379257202,50.624271392822266,52.68292236328125,70.47546991808662,59.83601379394531,28.4824538230896,49.16660189628601,,65.67854348207132,70.47546991808662
2023-10-27 16:00:00,42.867103576660156,58.458065032958984,22.831266403198242,1.0065443515777588,51.77664566040039,49.058143615722656,71.05131293987407,58.458065032958984,28.539083003997803,,51.77664566040039,61.124334286420776,71.05131293987407
2023-10-27 17:00:00,42.95189666748047,56.933841705322266,23.041046142578125,1.0205858945846558,49.941749572753906,46.27644348144531,71.19458402436355,56.933841705322266,28.801307678222656,,49.941749572753906,57.62937770745693,71.19458402436355
2023-10-27 18:00:00,42.907867431640625,55.185028076171875,23.28289222717285,1.0478582382202148,46.10684585571289,44.51763916015625,71.12018979828933,55.185028076171875,29.103615283966064,,46.10684585571289,55.41959791917067,71.12018979828933
2023-10-27 19:00:00,42.85003662109375,53.221920013427734,23.483701705932617,1.091017246246338,41.3818473815918,43.708858489990234,71.02247567012392,53.221920013427734,29.35462713241577,,41.3818473815918,54.40343758998773,71.02247567012392
2023-10-27 20:00:00,42.841861724853516,51.168365478515625,23.631744384765625,1.1419765949249268,36.71391677856445,43.7178840637207,71.00866291440767,51.168365478515625,29.53968048095703,53.28539239035712,36.71391677856445,54.41477741339268,71.00866291440767
2023-10-27 21:00:00,42.920692443847656,49.038124084472656,23.74995994567871,1.2007676362991333,32.72724533081055,44.36869430541992,71.14185964650122,49.038124084472656,29.68744993209839,56.48623797628614,32.72724533081055,55.23246207604041,71.14185964650122
2023-10-27 22:00:00,43.094547271728516,46.863433837890625,23.853404998779297,1.2652053833007812,29.70614242553711,45.49399185180664,71.43561435567922,46.863433837890625,29.81675624847412,59.99451531304253,29.70614242553711,56.646297454833984,71.43561435567922
2023-10-27 23:00:00,43.358863830566406,44.71691131591797,23.951566696166992,1.3285642862319946,27.679195404052734,47.018028259277344,71.88221819647427,44.71691131591797,29.93945837020874,63.44405558374193,27.679195404052734,58.561112428322815,71.88221819647427
2023-10-28 00:00:00,43.696449279785156,42.61594772338867,24.055341720581055,1.3855183124542236,26.538387298583984,48.86974334716797,72.45262119687837,42.61594772338867,30.06917715072632,66.54488590028551,26.538387298583984,60.88762625669822,72.45262119687837
2023-10-28 01:00:00,44.11812210083008,40.638938903808594,24.164859771728516,1.3973932266235352,26.138931274414062,50.96520233154297,73.16510286002324,40.638938903808594,30.206074714660645,67.19140900505913,26.138931274414062,63.520382416553986,73.16510286002324
2023-10-28 02:00:00,44.61174392700195,38.80113220214844,24.28178596496582,1.3726553916931152,26.35532569885254,53.1965446472168,73.99915353183088,38.80113220214844,30.352232456207275,65.84457132551405,26.35532569885254,66.3238637875288,73.99915353183088
2023-10-28 03:00:00,45.15219497680664,37.20054626464844,24.415897369384766,1.3326047658920288,27.101198196411133,55.414546966552734,74.91232944356985,37.20054626464844,30.519871711730957,63.66403725412157,27.101198196411133,69.11058465028421,74.91232944356985
2023-10-28 04:00:00,45.714332580566406,35.870094299316406,24.567031860351562,1.2934246063232422,28.319597244262695,57.45073699951172,75.86214815337082,35.870094299316406,30.708789825439453,61.5308952331543,28.319597244262695,71.66887469169421,75.86214815337082
2023-10-28 05:00:00,46.275848388671875,34.77815246582031,24.72635269165039,1.2627989053726196,29.95250701904297,59.13406753540039,76.81091624292834,34.77815246582031,30.90794086456299,59.86349595917595,29.95250701904297,73.78382844191331,76.81091624292834
2023-10-28 06:00:00,46.82534408569336,33.865623474121094,24.88726043701172,1.227049708366394,31.909061431884766,60.32830810546875,77.73937448961982,33.865623474121094,31.10907554626465,57.917150788837006,31.909061431884766,75.28428454276843,77.73937448961982
2023-10-28 07:00:00,47.34785461425781,33.08622741699219,25.039600372314453,1.1733598709106445,34.04718780517578,60.956146240234375,78.62223710684941,33.08622741699219,31.299500465393066,54.9940374162462,34.04718780517578,76.07310681465344,78.62223710684941
2023-10-28 08:00:00,47.819610595703125,32.43610382080078,25.17896270751953,1.1220663785934448,36.175682067871094,61.0289421081543,79.41934204101562,32.43610382080078,31.473703384399414,52.20139172342088,36.175682067871094,76.16456828973233,79.41934204101562
2023-10-28 09:00:00,48.21709060668945,31.946191787719727,25.32437515258789,1.111078143119812,38.081966400146484,60.6386604309082,80.09094619750977,31.946191787719727,31.655468940734863,51.6031433476342,38.081966400146484,75.67421438755133,80.09094619750977
